Location,Latitude,Longitude
"Rarotonga, Mangaia",-21.2292371,-159.7763491
"Neiva (Huila deparment); Rivera, San Antonio",2.9344837,-75.2809001
Aures Samura Constantine,,
Guayaquil areas,-2.1894128,-79.8890662
Milagro,-2.1287182,-79.53786339999999
North,,
"Arette, Lanne, Montory, Aramits, Haux, Sunhar (Pyrénées-Atlantiques)",43.097257,-0.8190060000000001
North West Mountains,,
,,
,,
"Dampit, Gondang, Trenggalek, Malang (East Java)",-8.048169999999999,111.6556388
East Java,-7.5360639,112.2384017
Jakarta,-6.1944491,106.8229198
Ambon,-3.6386665,128.1688559
Central Java,-6.879704100000001,109.1255917
"Maharashtra, Koynana",19.7514798,75.7138884
Orissa,20.2375561,84.2700179
,,
"Limnos, Agios Efstratios",39.5328915,25.0121584
"Perth, Meckering, Northam, Cunderdin",-31.6273756,117.0085847
New South Wales,-31.2532183,146.921099
"Madaripur, Faridpur",23.6057352,89.8386531
"Nationwide, 5 Northern districts",,
Rio Grande Valley,,
,,
Countrywide,,
Alps,46.8873983,9.6567822
"Nationwide, Central Valley, Central Chile",-35.675147,-71.542969
North coast,,
Guadalupe (Huila department),2.025561,-75.758955
North,,
,,
P Forzheim,48.8921862,8.6946286
Nationwide,,
Kelafo,5.5885798,44.1979631
Scotland,56.49067119999999,-4.2026458
"Central, South",28.16437,112.93251
Northwestern region,,
,,
"North Point, Tai Po Kan, Kwangtung, Tate's Cairn, Waglan Isl.",23.1317099,113.26627
,,
,,
North West Peninsula,,
Donggala,-0.4233155,119.8352303
Bojalali (Central Java),-7.534429599999999,110.6011373
East Java,-7.5360639,112.2384017
"(1) Rajasthan, Gujarat - (2) North-East, West Bengal, Assam",22.6708317,71.5723953
"Bihar, Bengal",25.9644427,85.2722472
"Ramanathapurum, Thanjavur",10.7869994,79.13782739999999
Paktia province,33.706199,69.3831079
Entire country,,
"East, North of Ougadougou. Northern section",12.3714277,-1.5196603
,,
Countrywide,,
,,
Nationwide,,
Ouagadougou and border,12.3714277,-1.5196603
"Dacca, Comilla",23.4415575,91.1504613
"Magdalena, Beni region",-13.2601405,-64.0561567
"Cochabamba, Sucre",-17.4139766,-66.1653224
North East,54.9456129,-1.9479664
"Tientsin (Swatow province), Yangjiang county (Huangdong province)",21.8582899,111.98256
Shantung province,36.6682599,117.02076
Magdalena River area,6.490562548403375,-75.14744607350231
"Pacific coast, Central Meseta, Limon",,
Limassol,34.6786322,33.0413055
"Alger, Oases, Titteri",36.753768,3.0587561
Playas area,,
Sardo,40.1208752,9.012892599999999
Hamasion division,,
"Brittany, Normandy",48.2020471,-2.9326435
Pacific Coast region,62.4113634,-149.0729715
Countrywide,,
,,
,,
,,
,,
"Roatan, Utila, Guanaja provinces",16.3297608,-86.5299673
,,
"Parasanga, Paletoang (Sulawesi)",-1.8479,120.5279
"Flores, Timor, Sulawe",-1.8479,120.5279
"Guntur, Krishna, Godavari (Andhra Pradesh)",16.3066525,80.4365402
Andhra Pradesh,15.9128998,79.7399875
Mendoza,-32.8894587,-68.8458386
Queensland,-22.575197,144.0847926
Atacora region,10.7954931,1.6760691
"Khulna, Chittagong",22.3369259,91.8323463
,,
,,
Bay of Bengal districts,13.531665,87.5395855
